slug,sponsor,drug,indication,application_type,pdufa_date,pdufa_matches_market_date,review_type,designations,prior_crl,crl_date,crl_reason_class,manufacturing_inspection_required,inspection_location,adcom_scheduled,risk_category,outcome,outcome_date,outcome_reason,eventually_approved,eventually_approved_date,source_url,enrichment_notes
fda-approves-astrazenecas-camizestrant,AstraZeneca,Camizestrant (AZD9833),"1L HR+/HER2- advanced breast cancer with emergent ESR1 mutation, + CDK4/6 inhibitor",NDA,2026-04-30,yes,standard,Breakthrough,no,n/a,n/a,unknown,unknown,2026-04-30,Timeline bet,Delay,2026-05-27,Resolved No via PDUFA extension: ODAC voted 6-3 against benefit-risk on 2026-04-30; FDA extended the decision date (disclosed 2026-05-27). No approval by market date.,pending,pending,https://www.astrazeneca.com/media-centre/press-releases/2026/us-fda-decision-date-camizestrant-extended.html; https://www.cancernetwork.com/view/fda-odac-no-camizestrant-for-hr-her2-esr1-advanced-breast-cancer,"NDA accepted Jul 2025 on SERENA-6; Breakthrough granted May 2025. ODAC 6-3 against 2026-04-30; FDA extension 2026-05-27. Delay, not a CRL."
fda-approves-astrazenecas-truqap-capivasertib,AstraZeneca,"Truqap (capivasertib, AZD5363)",Market framed as breast cancer sNDA; concurrent FDA action was capivasertib+abiraterone for PTEN-deficient mHSPC (CAPItello-281),sNDA,unknown,no,standard,none,no,n/a,n/a,unknown,unknown,2026-04-30,Timeline bet,Delay,2026-04-30,"Resolved No: no FDA approval of a Truqap label expansion by 2026-04-30. The 2026-04-30 ODAC (mHSPC) voted 7-1 favorable but is only advisory, not an approval.",pending,pending,https://www.fda.gov/advisory-committees/advisory-committee-calendar/april-30-2026-meeting-oncologic-drugs-advisory-committee-meeting-announcement-04302026; https://www.astrazeneca.com/media-centre/press-releases/2026/fda-odac-recommends-truqap-prostate-cancer.html,"INDICATION DISCREPANCY: market labels breast cancer sNDA, but only capivasertib FDA event near 2026-04-30 was the mHSPC ODAC (CAPItello-281), 7-1 favorable. No approval by market date; No is correct."
fda-approves-daiichi-sankyo-astrazenecas-enhertu,Daiichi Sankyo / AstraZeneca,"Enhertu (fam-trastuzumab deruxtecan-nxki, T-DXd)",HER2+ early breast cancer: neoadjuvant and adjuvant,sBLA,2026-05-15,no,priority,Priority Review Voucher,no,n/a,n/a,unknown,unknown,no,Oncology sNDA,Approved,2026-05-15,"Resolved Yes: FDA approved Enhertu for HER2+ early breast cancer (neoadjuvant + adjuvant) on 2026-05-15, ahead of the 2026-05-18 market date.",yes,2026-05-15,https://www.astrazeneca.com/media-centre/press-releases/2026/enhertu-approved-in-two-her2-early-bc-settings.html; https://www.drugs.com/history/enhertu.html,Based on DESTINY-Breast11 (neoadjuvant) and DESTINY-Breast05 (adjuvant). Approval ~3 days before market date.
fda-approves-sanofis-sarclisa,Sanofi,"Sarclisa subcutaneous (isatuximab-irfc), on-body injector",Multiple myeloma (SC formulation across approved IV indications),BLA,2026-07-23,no,standard,none,no,n/a,n/a,unknown,unknown,no,Timeline bet,Delay,2026-04-22,Resolved No via PDUFA extension: on 2026-04-22 Sanofi disclosed FDA extended the action date up to 3 months from ~2026-04-27 to 2026-07-23.,pending,pending,https://www.sanofi.com/en/media-room/press-releases/2026/2026-04-22-05-00-00-3278646; https://www.onclive.com/view/fda-extends-review-period-for-subcutaneous-isatuximab-bla-in-multiple-myeloma,"Original target ~2026-04-27; extended to 2026-07-23 (announced 2026-04-22). Delay, not a CRL. Based on Ph3 IRAKLIA. First anticancer via on-body injector."
fda-approves-merck-welireg-keytruda-or-keytruda-qlex-06-19-2026,Merck,Welireg (belzutifan) + Keytruda (pembrolizumab) / Keytruda Qlex,Adjuvant clear cell renal cell carcinoma (ccRCC) post-nephrectomy,sNDA,2026-06-19,yes,priority,none,no,n/a,n/a,unknown,unknown,no,Oncology sNDA,pending,pending,"Open market; PDUFA 2026-06-19 (matches market), based on Ph3 LITESPARK-022.",pending,pending,https://www.merck.com/news/keytruda-pembrolizumab-plus-welireg-belzutifan-given-as-adjuvant-therapy-reduced-the-risk-of-disease-recurrence-or-death-by-28-compared-to-keytruda-monotherapy-in-certain-patients-with/; https://www.urologytimes.com/view/fda-grants-priority-review-to-adjuvant-belzutifan-plus-pembrolizumab-for-ccrcc,"Combined Welireg sNDA + Keytruda sBLAs, shared PDUFA 2026-06-19. LITESPARK-022 at ASCO GU 2026."
fda-approves-arvinas-vepdegestrant-06-05-2026,Arvinas / Pfizer,"Vepdegestrant (ARV-471, VEPPANU); PROTAC SERD","ER+/HER2-, ESR1-mutated advanced/metastatic breast cancer after >=1 prior endocrine therapy",NDA,2026-06-05,yes,priority,Fast Track,no,n/a,n/a,unknown,unknown,no,Oncology sNDA,Approved,2026-05-01,"Resolved Yes: FDA approved VEPPANU on 2026-05-01, ahead of the 2026-06-05 PDUFA/market date; first-ever PROTAC degrader approval.",yes,2026-05-01,https://ir.arvinas.com/news-releases/news-release-details/arvinas-announces-fda-approval-veppanu-vepdegestrant-treatment; https://www.sec.gov/Archives/edgar/data/0001655759/000162828026029210/fdaapprovalpressrelease_.htm,First FDA-approved PROTAC protein degrader. Based on Ph3 VERITAC-2. Approved ~5 weeks early.
fda-approves-sanofis-dupixent,Sanofi; Regeneron,Dupixent (dupilumab),Chronic spontaneous urticaria (CSU) in children 2-11 yrs,sBLA,2026-04-22,no,standard,none,no,n/a,n/a,no,n/a,no,Clean desk review,Approved,2026-04-22,"FDA approved Dupixent as first biologic for young children (2-11) with uncontrolled CSU (LIBERTY-CUPID), ahead of the 2026-04-27 market date.",yes,2026-04-22,https://investor.regeneron.com/news-releases/news-release-details/dupixentr-dupilumab-approved-us-first-new-targeted-therapy-over; https://www.sanofi.com/en/media-room/press-releases/2026/2026-04-22-21-30-00-3279472,Pediatric (2-11) CSU extension; approved 5 days early.
fda-approves-sanofis-tzield,Sanofi,Tzield (teplizumab-mzwv),Delay onset of stage 3 type 1 diabetes in children as young as 1 yr (age expansion),sBLA,2026-04-29,yes,priority,none,no,n/a,n/a,no,n/a,no,Clean desk review,Approved,2026-04-22,"FDA approved (priority) the age expansion of Tzield to children as young as 1 yr (PETITE-T1D), ahead of the market date.",yes,2026-04-22,https://www.sanofi.com/en/media-room/press-releases/2026/2026-04-22-05-05-00-3278650; https://www.news.sanofi.us/2026-04-22-Sanofis-Tzield-approved-in-the-US-to-delay-the-onset-of-stage-3-type-1-diabetes-in-young-children,PDUFA 2026-04-29 (matches); approved early 2026-04-22.
fda-approves-sanofis-rilzabrutinib-for-immune-thrombocytopenia-by-august-31,Sanofi,Wayrilz (rilzabrutinib),Persistent or chronic immune thrombocytopenia (ITP) in adults,NDA,2025-08-29,yes,priority,Fast Track;Orphan,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-08-29,FDA approved Wayrilz as first BTK inhibitor for ITP (LUNA 3).,yes,2025-08-29,https://www.sanofi.com/en/media-room/press-releases/2025/2025-08-29-21-50-18-3141825; https://www.drugs.com/newdrugs/fda-approves-wayrilz-rilzabrutinib-immune-thrombocytopenia-6602.html,Approved 2025-08-29. Fast Track + Orphan; priority review.
fda-approves-regenerons-dupixent-for-bullous-pemphigoid,Regeneron; Sanofi,Dupixent (dupilumab),Bullous pemphigoid in adults,sBLA,2025-06-20,yes,priority,Orphan,no,n/a,n/a,no,n/a,no,Clean desk review,Approved,2025-06-20,FDA approved Dupixent as first targeted medicine for adults with bullous pemphigoid (ADEPT); 8th type-2 inflammation indication.,yes,2025-06-20,https://www.ajmc.com/view/fda-expands-dupilumab-approval-as-first-new-biologic-for-bullous-pemphigoid; https://www.drugs.com/news/fda-approves-dupixent-bullous-pemphigoid-125520.html,"Approved 2025-06-20, matching resolve-by. Priority review."
fda-approves-eylea-hd-by-august-31,Regeneron,EYLEA HD (aflibercept) Injection 8 mg,Macular edema after RVO + monthly dosing (expanded label sBLA),sBLA,2025-11-19,no,priority,none,no,n/a,n/a,yes,domestic,no,CMC/manufacturing refile,Delay,2025-08-20,Resolved No via DELAY: on 2025-08-20 FDA extended review to Q4 2025 (major amendment from third-party filler inspection at Catalent Indiana/Novo Nordisk Bloomington); approved later 2025-11-19.,yes,2025-11-19,https://www.globenewswire.com/news-release/2025/08/20/3136582/0/en/EYLEA-HD-aflibercept-Injection-8-mg-Applications-for-Expanded-U-S-Label-and-Prefilled-Syringe-Receive-FDA-Review-Period-Extension.html; https://newsroom.regeneron.com/news-releases/news-release-details/eylea-hdr-aflibercept-injection-8-mg-approved-fda-treatment,Delay (not CRL) on expanded-label sBLA due to domestic third-party filler inspection. Approved 2025-11-19. A separate prefilled-syringe sBLA got a CRL 2025-10-27 (different submission).
fda-approves-argenxs-vyvgart,argenx,Vyvgart / Vyvgart Hytrulo (efgartigimod),Generalized myasthenia gravis (gMG) expansion to all serotypes incl. AChR-Ab seronegative,sBLA,2026-05-10,yes,priority,none,no,n/a,n/a,no,n/a,no,Clean desk review,Approved,2026-05-08,"FDA approved (priority) the all-serotype gMG label expansion (ADAPT SERON), ahead of the 2026-05-10 market date.",yes,2026-05-08,https://www.globenewswire.com/news-release/2026/05/08/3291372/0/en/argenx-Announces-U-S-FDA-Approval-Expanding-VYVGART-and-VYVGART-Hytrulo-for-Use-in-All-Adult-Patients-Living-with-gMG.html; https://argenx.com/news/2026/press-release-3217457,PDUFA 2026-05-10 (matches); approved early 2026-05-08.
